assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,1,115,None,None,4,184704,None,,0,0,0,0,32.5,281,147,None,,0,3,1.5,None,0,Marvelous,0.0,6,0,15.4,311,144,41,False,110.8,291,130,747,,None,45,0,0,None,0,,184704.jpg,2.1,0,0,Nakamba,0.1,False,None,a,2,7,10.0,306,149,27,0,0,0,0,0.0,6.0,Nakamba,3
0,13,339,None,None,5,193488,1,,0,0,0,0,426.1,68,49,3,,0,3,2.6,None,0,Anwar,0.0,22,10,165.1,53,31,42,False,500.4,116,42,1604,,None,60,0,0,1,0,,193488.jpg,4.0,0,0,El Ghazi,0.9,False,None,a,2,7,726.0,42,22,111,0,0,0,0,0.0,18.5,El Ghazi,2
0,0,0,None,None,0,195546,None,,0,0,0,0,0.0,451,191,None,,0,3,2.7,None,0,Emiliano,0.0,0,0,0.0,451,191,43,False,0.0,451,191,0,,None,65,0,0,None,0,,195546.jpg,0.0,0,0,Buendía Stati,12.6,False,None,a,2,7,0.0,451,191,0,0,0,0,0,0.0,0.0,Buendía,0
2,8,468,None,None,11,199796,None,,0,0,0,0,352.9,94,19,None,,0,2,2.7,None,0,Matthew,0.0,35,0,98.7,132,30,44,False,520.8,104,36,2373,,None,50,0,0,None,0,,199796.jpg,3.2,1,0,Cash,2.2,False,None,a,2,7,110.0,218,66,89,0,0,0,0,0.0,17.8,Cash,6
0,8,580,None,None,12,199798,None,,0,0,0,0,34.2,278,95,None,,0,2,2.7,None,0,Ezri,0.0,46,2,101.0,129,28,45,False,695.6,45,10,3195,,None,50,0,0,None,0,,199798.jpg,3.3,0,0,Konsa Ngoyo,1.5,False,None,a,2,7,276.0,129,18,119,0,0,0,0,0.0,23.8,Konsa,3
0,0,0,None,None,0,203368,None,,0,0,0,0,0.0,380,143,None,,0,2,2.2,None,0,Frédéric,0.0,0,0,0.0,390,143,46,False,0.0,390,143,0,,None,45,0,0,None,0,,203368.jpg,0.0,0,0,Guilbert,0.1,False,None,a,2,7,0.0,376,142,0,0,0,0,0,0.0,0.0,Guilbert,0
0,0,11,None,None,0,213345,None,,0,0,0,0,1.1,324,43,None,,0,4,2.0,None,0,Wesley,0.0,1,0,2.3,344,42,47,False,5.0,347,42,15,,None,55,0,0,None,0,,213345.jpg,1.0,0,0,Moraes,0.1,False,None,a,2,7,17.0,299,41,3,0,0,0,0,0.0,0.5,Wesley,0
0,0,0,None,None,0,217487,None,,0,0,0,0,0.0,442,53,None,,0,4,2.0,None,0,Mbwana Ally,0.0,0,0,0.0,443,53,48,False,0.0,443,53,0,,None,55,0,0,None,0,,217487.jpg,0.0,0,0,Samatta,0.0,False,None,a,2,7,0.0,441,53,0,0,0,0,0,0.0,0.0,Samatta,0
1,0,85,None,None,1,221239,None,,0,0,0,0,76.7,250,37,None,,0,4,1.5,None,0,Keinan,0.0,1,1,31.7,282,38,49,False,77.2,311,38,265,,None,45,0,0,None,0,,221239.jpg,1.5,0,0,Davis,7.1,False,None,a,2,7,169.0,176,38,23,0,0,0,0,0.0,5.1,Davis,0
2,0,358,None,None,12,230046,None,,0,0,0,0,304.5,113,73,5,,0,3,1.5,None,0,Douglas Luiz,0.0,41,0,90.0,146,81,50,False,403.4,159,64,2781,,None,45,0,0,None,0,,230046.jpg,2.2,1,0,Soares de Paulo,1.9,False,None,a,2,7,189.0,165,90,72,0,0,0,0,0.0,16.0,Douglas Luiz,8
